qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2
20051,cuttle fish bone,0.0515,1,tagmee.topn3,0.1095,cuttle fish bone Cuttlefish,,,
20054,50plus,0.0552,0,,,,,,
20055,usairway,0,0,,,,,,
20056,sythe,0.0896,0,,,,,,
20058,livermore,0,0,,,,,,
20059,satue of liberty,0,0,,,,,,
20061,area codes,0.1383,0,,,,,,
20062,actinomyces bovis,0.3788,0,,,,,,
20065,rock and gem shows,0.3323,0,,,,,,
20066,record fish caught,0.1894,0,,,,,,
20067,programming a remote control,0.0341,0,,,,,,
20069,psuedopregnancy,1,0,,,,,,
20073,suzy leonard,0.1756,0,,,,,,
20076,collagen vascular disease,0.2995,0,,,,,,
20077,hansen quads,0.01,0,,,,,,
20081,video game artist,0.1198,1,tagmee.topn3,0.2004,video game artist Game artist,,,
20082,ct fire academy,0.0385,1,tagmee.topn3,0.0417,ct fire academy Fire,,,
20092,frank tejeda clinic,0.0033,0,,,,,,
20093,arizonalottery,0,0,,,,,,
20094,chevy colorado gas mileage,0,0,,,,,,
20096,white star auction,0.1957,0,,,,,,
20098,chase credit card,0.0297,0,,,,,,
20101,join job corps,0.0135,1,tagmee.topn3,0.0298,join job corps Job Corps,,,
20102,jimmy earl carter,0.3285,0,,,,,,
20103,ventral cavity,0.3218,0,,,,,,
20104,blount county sheriff department,0.3056,0,,,,,,
20107,athens post office,0,0,,,,,,
20108,eleanor sobel,0,0,,,,,,
20110,my own background check,0.0034,1,tagmee.topn3,0.0647,background check Background check,,,
20111,dodge caliber,0.1256,0,,,,,,
20112,assumption of mary,0.4241,0,,,,,,
20113,city of barstow,0.0141,0,,,,,,
20119,algerian airlines,0.1383,0,,,,,,
20121,suspicious numbers,0,0,,,,,,
20122,gardner community center,0.1433,0,,,,,,
20123,who was lincolns vice president,0.1935,0,,,,,,
20124,iowa girls high school basketball,0.0475,1,tagmee.topn3,0.0896,iowa girls high school basketball Iowa Randwick Girls  High School Secondary school Basketball Basketball,,,
20130,cayenne pepper plants,0.3904,0,,,,,,
20131,washington mutual bank home page,0.037,1,tagmee.topn3,0.125,washington mutual bank home page Washington Mutual Washington Mutual,,,
20135,montgomery county court,0.1789,0,,,,,,
20137,haulover beach fl,0.3407,1,tagmee.topn3,0.3589,haulover beach fl Haulover Park Florida,,,
20138,nacvso,0,0,,,,,,
20139,silicone roof coatings,0.4206,1,tagmee.topn3,0.4392,silicone roof coatings Silicone Coating,,,
20141,orlando weather 7 day forecast,0.0056,1,tagmee.topn3,0.0357,orlando weather   day forecast Orlando  Florida Weather forecasting Daytime Weather forecasting,,,
20145,raisin in the sun,0.1384,0,,,,,,
20146,carmen electra video,0.0677,1,tagmee.topn3,0.0853,carmen electra video Carmen Electra Music video,,,
