qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,qid,glove.topn3,glove.topn3.bm25.map,qid,glove.topn3.replace,glove.topn3.replace.bm25.map,qid,tagmee.topn3,tagmee.topn3.bm25.map,qid,tagmee.topn3.replace,tagmee.topn3.replace.bm25.map,qid,stem.lovins,stem.lovins.bm25.map
20051,cuttle fish bone,0.0515,20051,cuttle fish bone mangxamba bluhnt salmon marrow,,20051,mangxamba bluhnt salmon marrow,0.0,20051,cuttle fish bone Cuttlefish,0.1095,20051,Cuttlefish,,20051,cuttl fish bon,0.0055
20054,50plus,0.0552,20054,50plus,,20054,50plus,0.0552,20054,50plus,0.0552,20054,50plus,,20054,50plus,0.0552
20055,usairway,0.0,20055,usairway,,20055,usairway,0.0,20055,usairway,0.0,20055,usairway,,20055,usairway,0.0
20056,sythe,0.0896,20056,sythe,,20056,sythe,0.0896,20056,sythe,0.0896,20056,sythe,,20056,sythe,0.0896
20058,livermore,0.0,20058,livermore,,20058,livermore,0.0,20058,livermore,0.0,20058,livermore,,20058,livermore,0.0
20059,satue of liberty,0.0,20059,satue liberty freedom bulletinyyy,,20059,satue freedom bulletinyyy,0.0,20059,satue liberty,0.0,20061,area codes,,20059,satu of libers,0.0
20061,area codes,0.1383,20061,area codes,,20061,area codes,0.1383,20061,area codes,0.1383,20062,actinomyces bovis,,20061,area codes,0.1383
20062,actinomyces bovis,0.3788,20062,actinomyces bovis,,20062,actinomyces bovis,0.3788,20062,actinomyces bovis,0.3788,20067,Broadcast programming Remote control,,20062,actinomyces bovis,0.3788
20065,rock and gem shows,0.3323,20065,rock gem shows band pop http   www nwguild org shown,,20065,band pop http   www nwguild org shown,0.0,20065,rock gem shows,0.3323,20069,psuedopregnancy,,20065,rock and gem show,0.3323
20066,record fish caught,0.1894,20066,record fish caught previous salmon catch catching,,20066,previous salmon catch catching,0.0,20066,record fish caught,0.1894,20073,suzy leonard,,20066,record fish caught,0.1894
20067,programming a remote control,0.0341,20067,programming remote control broadcasts broadcast mountainous isolated,,20067,broadcasts broadcast mountainous isolated control,0.0,20067,programming remote control Broadcast programming Remote control,0.0007,20076,Collagen Vascular disease,,20067,program a remot control,0.0341
20069,psuedopregnancy,1.0,20069,psuedopregnancy,,20069,psuedopregnancy,1.0,20069,psuedopregnancy,1.0,20077,hansen quads,,20069,psuedopregnancy,1.0
20073,suzy leonard,0.1756,20073,suzy leonard,,20073,suzy leonard,0.1756,20073,suzy leonard,0.1756,20081,Game artist,,20073,suzy leonard,0.1756
20076,collagen vascular disease,0.2995,20076,collagen vascular disease elastin fibrils peripheral cardiac illness,,20076,elastin fibrils peripheral cardiac illness,0.0,20076,collagen vascular disease Collagen Vascular disease,0.2995,20082,Fire,,20076,collag vascl diseas,0.0
20077,hansen quads,0.01,20077,hansen quads,,20077,hansen quads,0.01,20077,hansen quads,0.01,20092,Frank Tejeda,,20077,hansen quads,0.01
20081,video game artist,0.1198,20081,video game artist audio play painter,,20081,audio play painter,0.0,20081,video game artist Game artist,0.2004,20093,arizonalottery,,20081,vide gam art,0.0
20082,ct fire academy,0.0385,20082,ct fire academy scans scan sciences,,20082,scans scan fire sciences,0.0,20082,ct fire academy Fire,0.0417,20094,Chevrolet Colorado Fuel efficiency,,20082,ct fir academ,0.0
20092,frank tejeda clinic,0.0033,20092,frank tejeda clinic moore                                               myoot bluhnt hospital,,20092,moore                                               myoot bluhnt hospital,0.0,20092,frank tejeda clinic Frank Tejeda,0.0,20096,White people,,20092,frank tejed clin,0.0
20093,arizonalottery,0.0,20093,arizonalottery,,20093,arizonalottery,0.0,20093,arizonalottery,0.0,20098,Chase  bank  Credit card,,20093,arizonalottery,0.0
20094,chevy colorado gas mileage,0.0,20094,chevy colorado gas mileage chevrolet camaro arizona denver natural gasoline flier mpg,,20094,chevrolet camaro arizona denver natural gasoline flier mpg,0.0,20094,chevy colorado gas mileage Chevrolet Colorado Fuel efficiency,0.0,20101,Job Corps,,20094,chev colorad ga mile,0.0
20096,white star auction,0.1957,20096,white star auction black brown superstar,,20096,black brown superstar auction,0.0,20096,white star auction White people,0.0619,20102,Jimmy Earl Ron Carter,,20096,whit star auc,0.0
20098,chase credit card,0.0297,20098,chase credit card morgan http   www co mo md us loans banks debit,,20098,morgan http   www co mo md us loans banks debit,0.0,20098,chase credit card Chase  bank  Credit card,0.0033,20103,ventral cavity,,20098,chas credit card,0.0
20101,join job corps,0.0135,20101,join job corps working army commanded,,20101,join working army commanded,0.0,20101,join job corps Job Corps,0.0298,20104,Blount County  Tennessee Sheriff Sheriff Government agency,,20101,join job corp,0.0135
20102,jimmy earl carter,0.3285,20102,jimmy earl carter carter http   www co mo md us baron cousin jimmy johnson,,20102,carter http   www co mo md us baron cousin jimmy johnson,0.0119,20102,jimmy earl carter Jimmy Earl Ron Carter,0.1875,20107,Athens  Ohio,,20102,jim earl carter,0.0037
20103,ventral cavity,0.3218,20103,ventral cavity,,20103,ventral cavity,0.3218,20103,ventral cavity,0.3218,20108,eleanor sobel,,20103,ventral cavity,0.3218
20104,blount county sheriff department,0.3056,20104,blount county sheriff department bluhnt http   www co mo md us sheriff detectives administration,,20104,bluhnt http   www co mo md us sheriff detectives administration,0.0,20104,blount county sheriff department Blount County  Tennessee Sheriff Sheriff Government agency,0.2106,20110,Background check,,20104,blount count sheriff departm,0.1601
20107,athens post office,0.0,20107,athens post office greece thessaloniki                                               headquarters,,20107,greece thessaloniki                                               headquarters,0.0,20107,athens post office Athens  Ohio,0.0,20111,dodge caliber,,20107,athen post offic,0.0
20108,eleanor sobel,0.0,20108,eleanor sobel,,20108,eleanor sobel,0.0,20108,eleanor sobel,0.0,20112,Assumption of Mary,,20108,eleanor sobel,0.0
20110,my own background check,0.0034,20110,background check  ccc,,20110, ccc check,0.0,20110,background check Background check,0.0647,20113,City Barstow  Texas,,20110,my own background check,0.0034
20111,dodge caliber,0.1256,20111,dodge caliber,,20111,dodge caliber,0.1256,20111,dodge caliber,0.1256,20119,algerian airlines,,20111,dodge caliber,0.1256
20112,assumption of mary,0.4241,20112,assumption mary assuming elizabeth ann,,20112,assuming elizabeth ann,0.0,20112,assumption mary Assumption of Mary,0.4241,20121,suspicious numbers,,20112,assum of mar,0.0
20113,city of barstow,0.0141,20113,city barstow town fahnt js,,20113,town fahnt js,0.0,20113,city barstow City Barstow  Texas,0.0097,20123,Lincoln Motor Company Vice President of the United States,,20113,cit of barstow,0.0041
20119,algerian airlines,0.1383,20119,algerian airlines,,20119,algerian airlines,0.1383,20119,algerian airlines,0.1383,20124,Iowa Randwick Girls  High School Secondary school Basketball Basketball,,20119,algerian airlines,0.1383
20121,suspicious numbers,0.0,20121,suspicious numbers,,20121,suspicious numbers,0.0,20121,suspicious numbers,0.0,20130,Cayenne pepper Landrace,,20121,suspicious numbers,0.0
20122,gardner community center,0.1433,20122,gardner community center janlgardner yahoo com http   www co mo md us well centre,,20122,janlgardner yahoo com http   www co mo md us well centre,0.0,20122,gardner community center,0.1433,20131,Washington Mutual Washington Mutual,,20122,gardner commun center,0.1433
20123,who was lincolns vice president,0.1935,20123,lincolns vice president ooooooooooooooooooooooooooooooooooooooo oly      box president vice president vice,,20123,ooooooooooooooooooooooooooooooooooooooo oly      box president vice president vice,0.0,20123,lincolns vice president Lincoln Motor Company Vice President of the United States,0.0473,20135,Montgomery County  New York,,20123,wh wa lincoln vic presid,0.0
